,text,sentic_polarity,vader_sentiments,textblob_subjectivity,textblob_polarity,textblob_analysis
765,cork man helped shape us immigration policy among ucc alumni honoured immigration immigrationnews undocumented immigrants daca,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
766,immigrants stay always dreamers sticker pack highlights message immigration defenddaca dreamer dreamers dreamact stickershop via,NEGATIVE,NEUTRAL,0.0,0.0,NEUTRAL
767,many canadian immigration programs seeing processing delays due covid 19 pandemic senior immigration specialist vijay rao describes new timelines expect business development outreach manager neha mahajan canada immigration globalimmigration,POSITIVE,POSITIVE,0.4431818181818182,0.17045454545454544,POSITIVE
768,pull statements record people say country attacking trump immigration record cruelty cannot must new normal,POSITIVE,NEGATIVE,0.5522727272727272,0.1431818181818182,POSITIVE
769,chance pass sensible immigration reform exempting stem phds graduating us universities green card caps competes act compete need retain talent innovates,POSITIVE,POSITIVE,0.3,-0.2,NEGATIVE
770,economic migration new zealand must know visalobby visa immigration newzealand migration life employment citizenship business study,POSITIVE,NEUTRAL,0.32727272727272727,0.16818181818181818,POSITIVE
771,wait almost 14 days launch new immigration management software platform immigration software launch meltzerhellrung,POSITIVE,NEUTRAL,0.45454545454545453,0.13636363636363635,POSITIVE
772,utter failure disregard immigration laws grounds impeachment message delivered loud amp clear biden amp articles impeachment introduced day 1 new republican congress saveamerica,NEGATIVE,NEGATIVE,0.5875757575757576,0.003939393939393934,POSITIVE
773,visalobby global platform seamlessly connecting millions people visa amp immigration consultants solicitors lawyers amp experienced bloggers visa immigration digitalnomad study work abroad citizenship business tourism,POSITIVE,NEUTRAL,0.3333333333333333,0.3,POSITIVE
774,number reasons application immigration get refused lose hope help speak experts today canadianimmigration,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
775,amazes whole illegal immigration southern border white house senate house controlled democratic party passing immigration reform policies care immigration biden bidenbordercrisis,POSITIVE,POSITIVE,0.225,-0.075,NEGATIVE
776,canada moving towards completely digitising visa immigration system visalobby immigration visa canada digital workpermit business,POSITIVE,NEUTRAL,0.2,0.05,POSITIVE
777,florida russian migrants smuggled boat cuba immigration,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
778,numbers suggest biden job thanksjoe southernborder immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
779,expansion premium processing announced via nachman premiumprocessing h1b uscis workpermit greencard visa nonimmigrant immigrant immigration,NEGATIVE,NEUTRAL,0.0,0.0,NEUTRAL
780,plan phd somewhere else gcbacklog 195 year wait percountrylimits immigration uscis,NEGATIVE,NEUTRAL,0.0,0.0,NEUTRAL
781,vancouver delhi flights suspended september due extended flying times refuelling stop required avoid russian ukraine airspace canada littleindiaapp aircanada canadaflight canadatravel immigration canadaimmigration flightsuspended,POSITIVE,NEGATIVE,0.1875,-0.0625,NEGATIVE
782,israel government close offices upcoming passover mimuna holidays details immigration globalmobility hr,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
783,5 months left dv 2022 please help us complete dream increasing interviews dv22 egypt dv2022 dv2022winners dv2022 savediversityvisa immigration,POSITIVE,POSITIVE,0.2,0.05,POSITIVE
784,pelton balducci believe everyone deserves chance live american dream find neworleansimmigrationattorneys neworleansimmigration neworleansimmigrationlawyers immigrationlaw immigration,POSITIVE,POSITIVE,0.25,0.06818181818181818,POSITIVE
785,texas attorney general ken paxton argued sa police chief others violated state law forbidding cities sheltering undocumented immigrants sanantonio satx sanantoniotx kenpaxton immigration migrants texas,NEGATIVE,NEGATIVE,0.5,0.05000000000000002,POSITIVE
786,seem support discrimination writing suggests problem brown people countries black people white people country problem cdnpoli immigration migrants,NEGATIVE,NEGATIVE,0.21666666666666667,-0.08333333333333333,NEGATIVE
787,another sellout guess hundreds millions white peoples lives lost fighting less 4 major wars land means nothing ancestors paid land blood people taking birthright useless paper ink cdnpoli immigration,NEGATIVE,NEGATIVE,0.19166666666666665,-0.15104166666666666,NEGATIVE
788,15 years treason immigration,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
789,mcallen mayor javier villalobos asks residents call federal officials ask fix immigration problem stop putting political party american people texas txlege border immigration,POSITIVE,NEGATIVE,0.05,0.0,NEUTRAL
790,mistaken assumption immigration inevitable,NEGATIVE,NEGATIVE,1.0,0.0,NEUTRAL
791,officially announcing dates 2022 immigrationfilmfestival join us october 13 16 2022 9th annual hybrid festival filmfestival immigration immfilmfest2022 immfilmfest film immigrationfilms migration globalmigration,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
792,yet another hateful political stunt enough enough abbottfailedtexas xenophobia voteoutthegop texas betoforgovernor immigration asylum,NEGATIVE,NEGATIVE,0.3666666666666667,0.0,NEUTRAL
793,britain benefits controlled immigration favours secularism modernism africa amp asia secular modern minorities deserving safety amp security instance celebrate welcome majoritarian nigerian amp pakistani cultures freemubarakbala,POSITIVE,POSITIVE,0.6666666666666666,0.5333333333333333,POSITIVE
794,opinion u needs workers bad legal immigration mess opinion u needs workers bad legal immigration mess,NEGATIVE,NEGATIVE,0.34722222222222227,-0.22499999999999995,NEGATIVE
795,budget ties together housing child care immigration skills development social policies canada economic ones budget2022 housing immigration,POSITIVE,POSITIVE,0.13333333333333333,0.11666666666666667,POSITIVE
796,help sponsor afghanrefugees study career immigration law serve community donate yourmissionisourmission immigration scholarships legaladvocates chp,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
797,paxton wins reinstated trump remain mexico policy us supreme court ruled tx scotus said remain mexico policy must implemented mpp immigration trump bidenbordercrisis,POSITIVE,POSITIVE,0.2,0.3,POSITIVE
798,news recently spoke initiatives recently announced u citizenship immigration services uscis drive efficiency eb5 program clgpclegal eb5redeployment immigration,POSITIVE,POSITIVE,0.25,0.0,NEUTRAL
799,nothing see immigration doitlegally legalimmigration,NEGATIVE,NEUTRAL,0.0,0.0,NEUTRAL
800,title 42 public health policy masquerading immigration policy better tools use effectively manage border wrote,POSITIVE,POSITIVE,0.45555555555555555,0.3666666666666667,POSITIVE
801,share securethetribe savemasontn usa pro reparations ab3121 lineage immigration moratorium equality reparations black americans twenty first century texas california nfl nba atl philly nyc,POSITIVE,POSITIVE,0.3833333333333333,0.04166666666666667,POSITIVE
802,action share securethetribe savemasontn usa pro reparations ab3121 lineage immigration moratorium equality reparations black americans twenty first century texas california nfl nba atl philly nyc,POSITIVE,POSITIVE,0.2888888888888889,0.061111111111111116,POSITIVE
803,case get chosen h 1b lottery exploring work visa options beyond h 1b cap pa vii viii part series h1b h1balternative h1blottery visa nonimmigrant immigration nachman,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
804,share securethetribe savemasontn usa pro reparations ab3121 lineage immigration moratorium equality reparations black americans twenty first century texas border nfl,POSITIVE,POSITIVE,0.3833333333333333,0.04166666666666667,POSITIVE
805,castle kid trying kick sea foam back came remember first time white man yelled tankathursday tanka poetry micropoetry poem immigration racism,POSITIVE,NEGATIVE,0.1111111111111111,0.08333333333333333,POSITIVE
806,share securethetribe savemasontn usa pro reparations ab3121 lineage immigration moratorium equality reparations black americans twenty first century,POSITIVE,POSITIVE,0.3833333333333333,0.04166666666666667,POSITIVE
807,ecopr incorrectly approved dm ed sent webforms amp emails reply help advice irccmistake really enjoy sending tweet daily help immigration ukraine,POSITIVE,POSITIVE,0.25,0.2,POSITIVE
808,florida ag moody rep posey announce legislation giving states ability enforce immigration laws florida immigration moody posey,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
809,texas send bus loads illegal aliens washington dc anthony brian logan 10 min immigration texas relocating immigrants dc biden deal,NEGATIVE,NEGATIVE,0.5,-0.5,NEGATIVE
810,share 5 facts immigrants probably know immigration immigrants immigrant immigrationattorney immigrationlawyer immigrationattorney immigrationlaw attorneyangelicajimenez angelicajimenez immigrantstories immigrantrights,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
811,bill enforces immigration laws dhs via flpol immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
812,imagine arriving live foreign country things think get acclimated new city think tackling insurance check scott thoughts insurance new canadians immigration,POSITIVE,NEUTRAL,0.3835227272727273,0.07102272727272727,POSITIVE
813,join live session youtube tomorrow 11 00 eastern time toronto ask anything comment call us session 19054612424 livesession manudatta iccimmigration immigration canada canadaday,POSITIVE,POSITIVE,0.5,0.13636363636363635,POSITIVE
814,lawfirmnj mark calendar webcast april 22 tps basics providing assistance ukrainian refugees immigration details,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
815,feeds america farmworkers immigrants immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
816,full story equality georgefloyd gregabbott humanrights immigrants immigration jenpsaki jenpsakibreifing jenpsakisays nojusticenopeace protest purpleroompolitics racism refugees texas therapy trump visa womensrights,POSITIVE,NEGATIVE,0.55,0.35,POSITIVE
817,first round frenchelections wkd always immigration hot topic wonder french think trend fellow citizens driven expatriate bc islamophobia,POSITIVE,NEUTRAL,0.39583333333333337,0.075,POSITIVE
818,family thursday every thursday give facts tips family immigration process obligations financial sponsor green card immigration immigrationprocess immigrationlaw,POSITIVE,NEUTRAL,0.15,-0.1,NEGATIVE
819,immigration texas possibly sending 900 busses dc regular schedule true biden administration working host union job work fair,POSITIVE,POSITIVE,0.6567307692307692,0.26249999999999996,POSITIVE
820,yesterday 2nd circuit blocked disclosure amp immigration records related ideological screening border dc discusses decision w 1,NEGATIVE,NEGATIVE,0.2,0.0,NEUTRAL
821,full story blackexcellence donaldtrump equality gregabbott humanrights immigrants immigration nojusticenopeace protest purpleroompolitics racism racist refugees texas therapy trump tsrpolitics turntexasblue visa womensrights,NEGATIVE,NEGATIVE,0.55,0.35,POSITIVE
822,wore thinnest covering protect chill winter blasts newspaper reported arrived skinny hungry tired frozen hands feet railroads labor union blackhistory immigration,POSITIVE,NEGATIVE,0.7,-0.4,NEGATIVE
823,immigration lawyer explaining really nice people government actually care immigrants die immigration lawtwitter,POSITIVE,POSITIVE,0.55,0.3,POSITIVE
824,recognition top 25 winners eb 5 amp global immigration expo miami today congratulations uglobal eb5 immigration miami,POSITIVE,POSITIVE,0.25,0.25,POSITIVE
825,h1b visa selected last month lottery immigration options working u humanresources students employment tech visas,POSITIVE,NEUTRAL,0.06666666666666667,0.0,NEUTRAL
826,ircc processing times right speak immigration experts immigration visa canada studyabroad ielts immigrationlawyer studentvisa immigrationconsultant canadaimmigration immigrants sayhomecanadaimmigration ontario nigeria nigerian brampton,NEGATIVE,NEUTRAL,0.5357142857142857,0.2857142857142857,POSITIVE
827,u senate today confirmed kbj scotus track record relating immigration,POSITIVE,NEUTRAL,1.0,0.4,POSITIVE
828,lot changes tfwp program check tik tok insta amp social media detailed information immigration lmia workers,POSITIVE,NEUTRAL,0.4083333333333333,0.21666666666666667,POSITIVE
829,lifting trump title42 immigration restriction instated start pandemic lead dramatic increase undocumented immigrants crossing texas summer ranging 5 000 20 000 per day predicts fellow,NEGATIVE,POSITIVE,0.6,-0.4333333333333333,NEGATIVE
830,sigh immigrant immigration,NEGATIVE,POSITIVE,0.0,0.0,NEUTRAL
831,uscis policy update adopt risk based approach waiving interviews cpr filed petition remove conditions permanent resident status immigration lawfully greencard,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
832,words key success always motivating us strive best thank shameem chan lovely review pleasure part immigration journey clientreviews testimonial happyclients canada spscanada immigration,POSITIVE,POSITIVE,0.5125,0.45,POSITIVE
833,announced 35 000 h 2b visas work 1 april 30 sept 2022 23 500 visas available returning workers 11 500 visas non returning workers haiti honduras guatemala el salvador immigration h2bvisa,POSITIVE,NEUTRAL,0.4,0.4,POSITIVE
834,received great testimonial consultant immigration team skylar prepared submitted spousevisa extension application client home office decided day client visa appointment contact,POSITIVE,POSITIVE,0.75,0.8,POSITIVE
835,happy moment women inspiration 2022 thank canada stem immigration women womenintech entrepreneur investor startup,POSITIVE,POSITIVE,1.0,0.8,POSITIVE
836,congratulations mean actually getting time good behavior start found best luck friend know keep moving country forward prez immigration,POSITIVE,POSITIVE,0.42187500000000006,0.346875,POSITIVE
837,way use every refugee sandiegotijuanaborder immigration refugeeswelcome cbp starts rapid entry ukrainians,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
838,consult list concordia experts available comment ukraine crisis ukraine russia orthodoxchurch internationalsecurity europeanpolicy immigration cuexperts,NEGATIVE,NEGATIVE,0.4,0.4,POSITIVE
839,set plan studies abroad call us 91 950 271 8667 email us mavya precis com queries student visa precisconsultants studentvisa aboradstudt visa germany happyjourney highereducation immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
840,department homeland security dhs announced designation ukraine temporary protected status tps 18 months inmigracion ciudadania iaco passaicnj immigration citizenship newjersey nonprofitorganization community,NEGATIVE,POSITIVE,0.0,0.0,NEUTRAL
841,federal immigration agency seals lease deal big concord expansion immigration immigrationnews undocumented immigrants daca,NEGATIVE,NEUTRAL,0.1,0.0,NEUTRAL
842,truth makes way sense reform broken system continue trying put bandaid issue reform paths come work make easier less costly time money provide real pathways government red tape immigration,POSITIVE,POSITIVE,0.19166666666666668,-0.09166666666666666,NEGATIVE
843,keep saying see lots people statements concerns normal working class british people change immigration britain,POSITIVE,NEUTRAL,0.32499999999999996,0.075,POSITIVE
844,stop normal working class englishman immigration england britain,NEGATIVE,NEGATIVE,0.6499999999999999,0.15,POSITIVE
845,panel immigration economy highlights smart storytelling connect data story immigrant dairy farmers non immigrant farm owner depending labor try find local stories illustrate broader point,POSITIVE,POSITIVE,0.32142857142857145,0.10714285714285714,POSITIVE
846,issued policy alert impacting marriage based conditional permanent residents uscis amended policy manual regarding criteria waive interview 751 applicants immigration conditionalpermanentresident i751form,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
847,yup every single day sisepuede daca immigration funfact,POSITIVE,NEUTRAL,0.21428571428571427,-0.07142857142857142,NEGATIVE
848,harbor illegal aliens whose first act break immigration laws police must able work feds enforce law send illegal immigrants home sanctuarycities build wall agree leave comment,POSITIVE,NEGATIVE,0.4895833333333333,-0.0625,NEGATIVE
849,immigration builds america insurrection,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
850,share securethetribe savemasontn genitalia black usa make law stop immigrants practicing h r 6100 strengthening opposition female genital mutilation act 2020 usa pro reparations ab3121 immigration moratorium,POSITIVE,POSITIVE,0.3,-0.08333333333333333,NEGATIVE
851,thought news get much worse biden bidenadministration bordersecurity coronavirus illegalimmigration immigration immigrationandcustomsenforcementice,NEGATIVE,NEGATIVE,0.6,-0.4,NEGATIVE
852,hazzem immigration services office houston texas usa 001 281 515 3333 immigration usa jordan dubi texas,NEUTRAL,NEUTRAL,0.0,0.0,NEUTRAL
853,make month april pass without enough interviews make dreams easily disappear want schedule interviews dv2022 immigration,POSITIVE,POSITIVE,0.6666666666666667,0.21666666666666667,POSITIVE
854,tomorrow amp org immigration refugees tech4good,NEGATIVE,NEUTRAL,0.0,0.0,NEUTRAL
855,win great prizes weekly monthly giveaways scholarship doityourselfimmigration apply diysi travel immigration studyabroad giveaway educationalroad internationalstudent,POSITIVE,POSITIVE,0.575,0.8,POSITIVE
856,abbott doubled border bombast recent poll suggests texans concerned economic wellbeing texas gregabbott immigration migrants texaspolitics border title42,POSITIVE,NEUTRAL,0.225,0.1,POSITIVE
857,immigration key refilling country talent pool integrating foreign workers canadian society needs priority experts immigration humanresources,POSITIVE,POSITIVE,0.5625,-0.0625,NEGATIVE
858,v 45 issue 16 currently progress already 11 openaccess articles exploring issues media religious education ethnic boundary making immigration control deportation elections many check articles,POSITIVE,POSITIVE,0.3833333333333333,0.16666666666666666,POSITIVE
859,vote lives really depend voteasifyourlifedependsonit vote blm immigration climatechange bidenharris2020 trump,POSITIVE,NEUTRAL,0.2,0.2,POSITIVE
860,alternate headlines tx going transport undocumented individuals across state lines amp drop streets dc trying violate immigration nationality act immigration gregabbott foxnews texas,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
861,id jvd living life privilege means never terrorized us government especially immigration amp customs enforcement unfortunately going school reading horrible things otherwise may read oppression violenceagainstwomen e g,POSITIVE,NEGATIVE,1.0,-0.5,NEGATIVE
862,breaking texas governor tx announced new plan bus undocumented immigrants tx washington dc texas immigration dc,NEGATIVE,POSITIVE,0.45454545454545453,0.13636363636363635,POSITIVE
863,happening rising sea levels causing u migration crisis globalwarming migration immigration,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
864,dangerous blame housing prices immigration supply biggest problem speculation including foreign owners core immigration one keys economic growth good housing,NEGATIVE,NEGATIVE,0.45625,0.04375000000000001,POSITIVE
865,list conferrees house side competes act conference linked judiciary science primary immigration based record immigration,POSITIVE,NEUTRAL,0.5,0.4,POSITIVE
866,president joebiden lifted trump era immigration ban means lgbtq2s refugees repeal title42 lgbtq2s refugees us southern border allowed fairshot asylum,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
867,congress gridlocked advocates say state local lawmakers protect undocumented elderly carlos ballesteros laura rodr guez presa immigration,NEGATIVE,POSITIVE,0.0,0.0,NEUTRAL
868,gov greg abbott plan bus migrants washington c voluntary immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
869,immigrant phd measure could aid national security u economy immigration,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
870,pennsylvania state police settle profiling immigration suit immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
871,watch house committee hearing covid 19 immigration rule title 42 asylum border immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
872,fyi invasion people seeking better life like ancestors like ukrainians seeking safety freedom immigration asylum migrants texas,NEGATIVE,POSITIVE,0.5,0.5,POSITIVE
873,news update contact us information canadaimmigration canada immigration canadavisa studyincanada canadapr expressentry immigrationconsultant visa studyabroad ielts studentvisa workpermit studyvisa sayhomecanadaimmigration ontario nigeria brampton,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
874,new film today includes brand new lesson student activity check sschat immigration apush apgov,POSITIVE,NEUTRAL,0.45454545454545453,0.13636363636363635,POSITIVE
875,file stupidest political move ever immigration,POSITIVE,NEGATIVE,0.1,0.0,NEUTRAL
876,share securethetribe savemasontn usa pro reparations ab3121 lineage immigration moratorium back hiring line roy beck securethetribe,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
877,health comes first health human right everyone deserves access proper healthcare happy health day behalf ipsk turning home yxe immigration immigrants saskatoon newcomers immigrationpartnership,POSITIVE,POSITIVE,0.41380952380952374,0.2671428571428572,POSITIVE
878,biden decision end title 42 border policy explained immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
879,small community great values symbol trust save huge adao immigration investor programs startupvisa programs mortgage lending amp borrowing nftart custom nftcommumity marketing licensed professionals talented nftartist,POSITIVE,POSITIVE,0.7374999999999999,0.41250000000000003,POSITIVE
880,sharing list top 10 business job prospects immigrants whatsapp advice related immigration 1 780 710 6010 bunchberryimmigration canada immigration jobsincanada workincanada settleincanada workandsettleincanada canadaimmigration,POSITIVE,POSITIVE,0.45,0.25,POSITIVE
881,republicans raising money stunts politicize immigration title42 like playing along helping,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
882,fewer 300 000 immigrants accepted canada every year reasons speak immigration lawyer include visitor visas work permits refugee claims book meeting team today 416 307 2070 maria com,NEGATIVE,POSITIVE,0.0,0.0,NEUTRAL
883,buy gop attack immigration somehow related drugs 99 fentanyl drug seizures happen ports entry drug traffickers smuggle deadly product trucks amp cars backs asylum seekers want apprehended,NEGATIVE,NEGATIVE,0.26666666666666666,-0.08333333333333333,NEGATIVE
884,canada day parade cancelled third year row full article canadanews immigration immigrationnews cdnimm narcitycanada blogto dailyhive curiocitycanada ctv cbc canada toronto vancouver cisnews,POSITIVE,NEGATIVE,0.2611111111111111,0.033333333333333326,POSITIVE
885,ukraine russian war frightening peak world zionist organization complex rescue immigration operation past thirty years hagoel ukraine russia rescue immigration,POSITIVE,NEGATIVE,0.4125,-0.2625,NEGATIVE
886,new rule streamlining asylum application process noncitizens detained immigration enforcement officers read asylum asylumapplication immigration immigrationattorney immigrationblog immigrationfirm businessimmigration,POSITIVE,NEGATIVE,0.45454545454545453,0.13636363636363635,POSITIVE
887,would make democrats mad happy embrace desantis abbott giving democrats shoot mouths opportunity walk walk immigration illegalaliens illegalimmigrants,POSITIVE,POSITIVE,1.0,0.08750000000000002,POSITIVE
888,video answer question first thing applying f 1 student visa share video f1visa studentvisa uscis greencard immigrationnews immigrationlawyer immigrationattorney jqklawfirm johnkhosravi immigration,POSITIVE,POSITIVE,0.3333333333333333,0.25,POSITIVE
889,additional 35 000 h 2b visas available u employers seeking seasonal foreign guest workers spring summer team assist employment based immigration providing advice h l visas,POSITIVE,POSITIVE,0.2625,0.1375,POSITIVE
890,hope tune hear talk immigration policy happening 45 minutes,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
891,new surge ukrainians u border immigration,NEGATIVE,NEUTRAL,0.45454545454545453,0.13636363636363635,POSITIVE
892,tx total waste texans taxpayers money abbott pay campaign funds also pay national guard campaign nationalguard immigration texas,POSITIVE,NEGATIVE,0.375,-0.1,NEGATIVE
893,greg abbott send 900 busses illegal immigrants washington dc biden get taste medicine receive busloads illegals doorstep ridgedale abbott immigration letsgobrandon arthurnix,NEGATIVE,NEGATIVE,0.5,-0.5,NEGATIVE
894,eb 5 amp global immigration conference underway miami thank david hirson moderating first panel uglobal eb5 global immigration expo,POSITIVE,POSITIVE,0.1111111111111111,0.08333333333333333,POSITIVE
895,guy make much sense sudden oh right disney covid19 immigration crime,NEGATIVE,NEGATIVE,0.41190476190476194,0.1619047619047619,POSITIVE
896,listen describes immigration system interesting conversation libre border visit stronger u campaign mariano gonzalez belibre,POSITIVE,POSITIVE,0.5,0.5,POSITIVE
897,democrats gop immigration republicans biden crime crimesagainsthumanity texasgop homelandsecurity dc texans illegals grayhound interstate human trafficking look like raboott bus charter owners want go federal prison party law order,POSITIVE,NEGATIVE,0.1,0.0,NEUTRAL
898,immigration recruitment tragedy abba moro acquitted court convicts ex perm sec,NEGATIVE,NEGATIVE,0.6,-0.1,NEGATIVE
899,eb 5 amp global immigration conference underway miami thank david hirson moderating first panel eb5 global immigration expo,POSITIVE,POSITIVE,0.1111111111111111,0.08333333333333333,POSITIVE
900,introducing yvette maximay ajr business services accounts clerk junior cpa trucking logistics lead bankruptcy marketing creditrepair webdesign divorcepetition businessloan businessgrant businessregistration businessinvoice businessdocuments immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
901,cannot speak love anyway want better die god bless immigration,POSITIVE,NEGATIVE,0.55,0.5,POSITIVE
902,canada needs step support ukraine waiving visa requirements granting visa free travel ukrainians fleeing russia illegal invasion standwithukraine cdnpoli skpoli yxe saskatoon immigration cimm,POSITIVE,POSITIVE,0.65,-0.04999999999999999,NEGATIVE
903,legal immigration u partially rebounds national global borders reopen visa greencard,POSITIVE,POSITIVE,0.16666666666666666,0.03333333333333333,POSITIVE
904,fred feldman brings whole new meaning word self invention incredible memoir story keeper emphasizes importance second chances immigration ww2 holocaust jewishlife,POSITIVE,POSITIVE,0.4386363636363636,0.3090909090909091,POSITIVE
905,extra funding announced help last minute euss applications funding 2 5m aims tackle issues faced vulnerable people applying euss find euss immigration visa eu uk law notary brexit,NEGATIVE,POSITIVE,0.22222222222222224,-0.16666666666666666,NEGATIVE
906,free monthly newsletter keeps updated important information regarding immigration family law subscribe today make sure getting important information law lawfirm creatingcommunity immigration,POSITIVE,POSITIVE,0.9222222222222223,0.42500000000000004,POSITIVE
907,canada increases immigration target 411 000 almost 432 000 immigrants 2022 based plan new immigrant landings 2022 431 645 permanent residents 2023 447 055 permanent residents 2024 451 000 permanent residents canada immigration levelplan immigrants,POSITIVE,NEUTRAL,0.45454545454545453,0.13636363636363635,POSITIVE
908,total 252 730 travellers recorded entered left malaysia main entry points four day period since opening country borders april 1 according immigration department read,POSITIVE,NEUTRAL,0.3611111111111111,0.05555555555555555,POSITIVE
909,busing migrants us capitol know know texas gov abbott new border order includes busing migrants txlege migrants border immigration texas mexico,NEGATIVE,NEUTRAL,0.45454545454545453,0.13636363636363635,POSITIVE
910,home office questions marriage explore follow amazing spring viral worldwar3 russiainvadesukraine ukimmigrationnews trending immigrationupdate immigrationnews immigrationchanges uk immigration uksettlement ilr ukvisa ukimmigrationapplication,POSITIVE,POSITIVE,0.9,0.6000000000000001,POSITIVE
911,amazing result lawmadesimple thursdayvibes thursdaymorning thursdaythoughts thursdaymotivation thursday thursdaythought homeoffice immigration excellent outcome result skilledworker tier2 great fantastic,POSITIVE,POSITIVE,0.8875,0.7000000000000001,POSITIVE
912,current immigration argument ridiculously ill infomred end inflation immigration want cheaper food amp groceries appliances delivery goods services need diversity workers world fill 11 millions open roles,POSITIVE,NEGATIVE,0.6333333333333333,-0.16666666666666666,NEGATIVE
913,going ship humans across state lines bus driver charged kidnapping human trafficking desantis conspiracy commit immigration humantrafficking,NEGATIVE,NEGATIVE,0.1,0.0,NEUTRAL
914,person immigrant fam left cuba cr began seems matter folks supposed secure borders amp limit immigration indignityact gop lawmakers fume abt border policy dhs sec mayorkas meeting washington examiner,POSITIVE,POSITIVE,0.39999999999999997,0.10000000000000002,POSITIVE
915,dont know anyone would want live country born would rather live anywhere else right chaotic run country population housingcrisis police costofliving immigration god forbid interest rate rise new home owners,POSITIVE,NEGATIVE,0.49756493506493504,0.1737012987012987,POSITIVE
916,great chat youtuber importance saskatchewan relationship bangladesh sds bangladesh immigration make sure tune sds bangladesh cdnpoli skpoli immigration cimm saskatoon yxe,POSITIVE,POSITIVE,0.8194444444444444,0.65,POSITIVE
917,citizen pariah somali traders emphasise prospective plans studying university expanding businesses worldview underpinned uprootedness offers comfort amp reassurance nothing need stay immigration,POSITIVE,POSITIVE,0.0,0.1,POSITIVE
918,hear break law get free phone immigration border biden psaki conservative,POSITIVE,POSITIVE,0.8,0.4,POSITIVE
919,release additional 35 000 h 2b visas hr immigration seasonalwork shrm labor,NEGATIVE,NEUTRAL,0.0,0.0,NEUTRAL
920,dyk immigrants make impressive 27 6 population katy texas area thank hosting morning discuss economic impact immigration share work see full report,POSITIVE,POSITIVE,0.5833333333333334,0.5166666666666666,POSITIVE
921,dataviz tracking trends migration attitudes also shows public narratives amp attempts control immigration matched steady immigration levels public opinion w frenchelection,POSITIVE,NEUTRAL,0.2111111111111111,0.05555555555555555,POSITIVE
922,recent statement changes immigration rules number previously proposed new uk immigration routes confirmed first comes effect next week find k2corporatemobility globalmobility relocation,POSITIVE,POSITIVE,0.36742424242424243,0.1032828282828283,POSITIVE
923,trump appointed judge rules migrant families separated border sue trump officials familiyseparation zerotolerance asylum immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
924,breaking texas gov tx says texas sending charter buses illegal migrants washington dc aight gregabbott immigration,POSITIVE,NEGATIVE,0.5,-0.5,NEGATIVE
925,bidenadministration needs come clean regarding open border immigration policies staying silent unacceptable american people trust issue wake dems immigration openborder bordercrisis nationalsecurity,NEGATIVE,POSITIVE,0.32500000000000007,0.09166666666666667,POSITIVE
926,uscis transferring employment based i485 aos cases effort adjudicate utilize significant number visas available fy2022 employment based aos applications immigration employmentbased eb3 eb2 i140,POSITIVE,POSITIVE,0.6375,0.3875,POSITIVE
927,watched slamming immigration ice,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
928,texas orders migrant bus charters dc furthering aggressive immigration response state officials also said would begin increased military activity southern border install razor wire low water immigration justicedigest,NEGATIVE,NEGATIVE,0.13333333333333333,-0.03333333333333333,NEGATIVE
929,rep posey florida ag moody unveil bill allow states demand enforcement federal immigration law,NEGATIVE,NEGATIVE,0.0,0.0,NEUTRAL
930,posted worker directive works ensure employers employees enjoy movement member states safeguarding rights employee citizens nation globalmobility postedworkerdirective immigration,POSITIVE,POSITIVE,0.5,0.4,POSITIVE
